"Town","ListYear","average_price","rank"
"Weston",2001,737750,1
"Westport",2001,725000,2
"Darien",2001,710000,3
"Wilton",2001,622500,4
"Easton",2001,590000,5
"Ridgefield",2001,510500,6
"Redding",2001,482000,7
"Madison",2001,350000,8
"Roxbury",2001,340000,9
"Woodbridge",2001,333000,10
"Stamford",2001,330000,11
"Trumbull",2001,321450,12
"Washington",2001,317000,13
"Newtown",2001,312500,14
"Monroe",2001,308000,15
"Norwalk",2001,3e+05,16
"Orange",2001,3e+05,17
"New Fairfield",2001,282500,18
"Avon",2001,278000,19
"Salisbury",2001,265000,20
"Guilford",2001,260000,21
"Essex",2001,245000,22
"Simsbury",2001,245000,23
"Bridgewater",2001,241750,24
"Oxford",2001,236000,25
"Bethel",2001,232500,26
"Cheshire",2001,228500,27
"Glastonbury",2001,227250,28
"Old Saybrook",2001,227250,29
"Sherman",2001,226000,30
"New Canaan",2002,960000,1
"Greenwich",2002,825000,2
"Darien",2002,817000,3
"Westport",2002,8e+05,4
"Weston",2002,745500,5
"Fairfield",2002,421750,6
"Washington",2002,390000,7
"Stamford",2002,364500,8
"Trumbull",2002,353662.5,9
"Sherman",2002,350000,10
"Woodbridge",2002,350000,11
"Monroe",2002,342500,12
"Avon",2002,338500,13
"Orange",2002,335000,14
"Norwalk",2002,334250,15
"Bridgewater",2002,315750,16
"New Fairfield",2002,309919,17
"Brookfield",2002,302950,18
"Killingworth",2002,290000,19
"Lyme",2002,290000,20
"Shelton",2002,277200,21
"Middlebury",2002,275000,22
"Oxford",2002,271000,23
"Old Saybrook",2002,270450,24
"Chester",2002,258509,25
"Essex",2002,255000,26
"Salisbury",2002,252500,27
"Burlington",2002,251000,28
"Cornwall",2002,245000,29
"Durham",2002,245000,30
"Greenwich",2003,1100000,1
"Westport",2003,875000,2
"Wilton",2003,752500,3
"Ridgefield",2003,619000,4
"Redding",2003,605000,5
"Easton",2003,593750,6
"Roxbury",2003,560000,7
"Fairfield",2003,480000,8
"Madison",2003,439000,9
"Newtown",2003,425000,10
"Trumbull",2003,413125,11
"Stamford",2003,409950,12
"Litchfield",2003,387500,13
"Woodbridge",2003,375000,14
"Orange",2003,368450,15
"Oxford",2003,350000,16
"Brookfield",2003,340000,17
"Salisbury",2003,335000,18
"Killingworth",2003,330500,19
"Guilford",2003,325000,20
"Bethel",2003,321000,21
"New Fairfield",2003,320000,22
"Old Lyme",2003,3e+05,23
"Scotland",2003,295000,24
"Shelton",2003,289900,25
